date,average,trend,averageUnc,trendUnc
1984.11,1653.79,1649.97,0.96,0.58
1984.12,1656.22,1651.06,1.06,0.58
1985.1,1655.62,1652.15,0.96,0.58
1985.2,1652.22,1653.17,1.36,0.58
1985.3,1654.61,1654.17,1.00,0.58
1985.4,1658.21,1655.19,0.83,0.59
1985.5,1655.86,1656.19,1.21,0.59
1985.6,1650.05,1657.20,1.22,0.59
1985.7,1646.83,1658.19,1.17,0.60
1985.8,1652.23,1659.21,1.06,0.61
1985.9,1662.48,1660.22,0.98,0.61
1985.10,1667.51,1661.23,1.16,0.62
1985.11,1666.80,1662.25,1.32,0.64
1985.12,1666.05,1663.28,1.17,0.65
1986.1,1666.29,1664.34,1.18,0.67
1986.2,1666.90,1665.35,1.72,0.69
1986.3,1669.27,1666.38,1.32,0.70
1986.4,1670.82,1667.44,1.37,0.72
1986.5,1668.43,1668.51,0.96,0.75
1986.6,1664.77,1669.59,1.14,0.77
1986.7,1662.36,1670.67,1.13,0.78
1986.8,1664.36,1671.78,1.53,0.80
1986.9,1672.57,1672.87,1.36,0.81
1986.10,1678.69,1673.97,1.61,0.81
1986.11,1678.97,1675.06,1.88,0.80
1986.12,1679.11,1676.15,1.15,0.79
1987.1,1679.39,1677.26,1.16,0.76
1987.2,1679.02,1678.30,1.06,0.73
1987.3,1680.07,1679.32,0.87,0.70
1987.4,1681.39,1680.37,0.82,0.66
1987.5,1681.83,1681.38,1.08,0.62
1987.6,1679.99,1682.38,1.11,0.57
1987.7,1675.99,1683.34,0.83,0.53
1987.8,1677.14,1684.28,0.82,0.49
1987.9,1685.58,1685.18,0.91,0.46
1987.10,1691.58,1686.05,1.01,0.44
1987.11,1691.16,1686.89,0.85,0.43
1987.12,1690.49,1687.72,0.84,0.43
1988.1,1692.07,1688.54,0.93,0.46
1988.2,1692.68,1689.33,0.89,0.48
1988.3,1691.41,1690.12,1.06,0.51
1988.4,1690.12,1690.93,1.06,0.54
1988.5,1689.06,1691.76,0.98,0.58
1988.6,1687.06,1692.62,1.22,0.61
1988.7,1685.81,1693.49,0.95,0.63
1988.8,1689.11,1694.42,1.11,0.65
1988.9,1695.86,1695.35,1.20,0.66
1988.10,1701.08,1696.31,1.26,0.66
1988.11,1702.89,1697.30,1.34,0.66
1988.12,1702.00,1698.30,1.14,0.65
1989.1,1700.58,1699.33,1.00,0.64
1989.2,1701.05,1700.32,1.17,0.63
1989.3,1702.47,1701.31,1.26,0.62
1989.4,1703.61,1702.33,1.03,0.60
1989.5,1703.35,1703.34,0.51,0.59
1989.6,1700.20,1704.32,0.95,0.57
1989.7,1698.22,1705.28,0.98,0.56
1989.8,1701.97,1706.23,1.02,0.55
1989.9,1707.17,1707.13,0.94,0.55
1989.10,1710.53,1707.99,0.90,0.55
1989.11,1713.11,1708.83,0.89,0.56
1989.12,1713.22,1709.62,0.93,0.57
1990.1,1712.12,1710.39,1.11,0.59
1990.2,1713.49,1711.10,1.20,0.61
1990.3,1714.39,1711.78,1.09,0.63
1990.4,1712.53,1712.45,1.09,0.65
1990.5,1710.55,1713.11,0.98,0.66
1990.6,1708.32,1713.77,0.82,0.68
1990.7,1706.42,1714.42,0.78,0.69
1990.8,1710.09,1715.11,1.20,0.70
1990.9,1717.56,1715.81,1.19,0.70
1990.10,1722.08,1716.55,1.01,0.70
1990.11,1723.51,1717.35,0.96,0.70
1990.12,1723.31,1718.21,1.25,0.70
1991.1,1721.54,1719.16,1.27,0.70
1991.2,1721.17,1720.15,1.22,0.70
1991.3,1722.09,1721.21,0.98,0.70
1991.4,1722.52,1722.37,1.06,0.70
1991.5,1722.18,1723.60,1.11,0.70
1991.6,1718.98,1724.88,1.11,0.70
